suffix
limited liability company
private limited
incorporated
corporation
public limited company
gesellschaft mit beschraenkter haftung
aktiengesellschaft
besloten vennootschap
societe a responsabilite limitee
societe par actions simplifiee
societe anonyme
proprietary limited
private
limited
llc
inc
corp
gmbh
ag
bv
sarl
sas
sa
pty
pvt
plc
nv
kg
ug
ltd
co
